anime_ids	name	type	episodes	rating	members	Sci-Fi	Romance	Action	Seinen	Drama	Shounen	Comedy	Shoujo	Fantasy	Adventure
1723	Kimi no Na wa.	Movie	1	9.37	200630	0	1	0	0	1	0	0	0	0	0
82	Fullmetal Alchemist: Brotherhood	TV	64	9.26	793665	0	0	1	0	1	1	0	0	1	1
296	Gintama°	TV	51	9.25	114262	1	0	1	0	0	1	1	0	0	0
127	Steins;Gate	TV	24	9.17	673572	1	0	0	0	0	0	0	0	0	0
137	Gintama&#039;	TV	51	9.16	151266	1	0	1	0	0	1	1	0	0	0
1458	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	TV	10	9.15	93351	0	0	0	0	1	1	1	0	0	0
405	Hunter x Hunter (2011)	TV	148	9.13	425855	0	0	1	0	0	1	0	0	0	1
2028	Ginga Eiyuu Densetsu	OVA	110	9.11	80679	1	0	0	0	1	0	0	0	0	0
186	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	Movie	1	9.1	72534	1	0	1	0	0	1	1	0	0	0
188	Gintama&#039;: Enchousen	TV	13	9.11	81109	1	0	1	0	0	1	1	0	0	0
8	Clannad: After Story	TV	24	9.06	456749	0	1	0	0	1	0	0	0	1	0
6306	Koe no Katachi	Movie	1	9.05	102733	0	0	0	0	1	1	0	0	0	0
41	Gintama	TV	201	9.04	336376	1	0	1	0	0	1	1	0	0	0
62	Code Geass: Hangyaku no Lelouch R2	TV	25	8.98	572888	1	0	1	0	1	0	0	0	0	0
293	Haikyuu!! Second Season	TV	25	8.93	179342	0	0	0	0	1	1	1	0	0	0
19	Sen to Chihiro no Kamikakushi	Movie	1	8.93	466254	0	0	0	0	1	0	0	0	0	1
977	Shigatsu wa Kimi no Uso	TV	22	8.92	416397	0	1	0	0	1	1	0	0	0	0
270	Mushishi Zoku Shou 2nd Season	TV	10	8.88	75894	0	0	0	1	0	0	0	0	1	1
164	Ookami Kodomo no Ame to Yuki	Movie	1	8.84	226193	0	0	0	0	0	0	0	0	1	0
49	Code Geass: Hangyaku no Lelouch	TV	25	8.83	715151	1	0	1	0	0	0	0	0	0	0
591	Hajime no Ippo	TV	75	8.83	157670	0	0	0	0	1	1	1	0	0	0
569	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	OVA	4	8.83	129307	0	1	1	0	1	0	0	0	0	0
12	Cowboy Bebop	TV	26	8.82	486824	1	0	1	0	1	0	1	0	0	1
304	One Punch Man	TV	12	8.82	552458	1	0	1	1	0	0	1	0	0	0
18	Mononoke Hime	Movie	1	8.81	339556	0	0	1	0	0	0	0	0	1	1
782	Suzumiya Haruhi no Shoushitsu	Movie	1	8.81	240297	1	1	0	0	0	0	1	0	0	0
422	Monogatari Series: Second Season	TV	26	8.8	205959	0	1	0	0	0	0	1	0	0	0
247	Mushishi Zoku Shou	TV	10	8.8	101351	0	0	0	1	0	0	0	0	1	1
28	Mushishi	TV	26	8.78	300030	0	0	0	1	0	0	0	0	1	1
367	Tengen Toppa Gurren Lagann	TV	27	8.78	562962	1	0	1	0	0	0	1	0	0	1
23	Great Teacher Onizuka	TV	43	8.77	268487	0	0	0	0	1	1	1	0	0	0
745	Hajime no Ippo: New Challenger	TV	26	8.75	88995	0	0	0	0	1	1	1	0	0	0
996	Mushishi Zoku Shou: Suzu no Shizuku	Movie	1	8.75	32266	0	0	0	1	0	0	0	0	1	1
